id,cust_name,phone_number,email,address,birthday
0,Jesse Martinez,(167)030-2660,mjenkins@example.org,"244 Calderon Overpass
Port Dylanton, FM 27443",1982-03-14
1,John Potter,7766155259,vtodd@example.org,"98742 Davis Estates
South Shelby, NV 46167",1967-07-24
2,Mrs. Laura Allen MD,(226)094-7797x7783,gillespiemichael@example.org,"50431 Mitchell Crossing
Whiteville, UT 89808",1989-12-20
3,Dennis Mitchell,621.964.9222,yolanda63@example.com,"35146 Sanchez Passage Apt. 738
Chelseaborough, VI 69339",1985-05-06
4,Caroline Crane,+1-998-423-1179x4611,michaelaustin@example.net,"70396 Butler Locks Apt. 311
Amandahaven, PR 64573",1967-06-05
5,Amber Soto,591.958.4033x6227,vmoran@example.org,"812 Rebecca Streets
Silvaton, ME 48758",1968-01-04
6,Melissa Rodriguez,5630889427,bowennicole@example.org,"68254 Laura Wells Apt. 961
Jamesborough, NY 09624",1956-08-06
7,Alexander Durham,502-669-2467x2065,howardjeffrey@example.net,"PSC 6306, Box 4334
APO AE 28239",1992-02-07
8,Robert Pearson,(651)485-5788x7817,daniel74@example.org,"USNV Moore
FPO AE 37176",1987-07-23
9,Thomas Jimenez,+1-425-961-2103x76340,terry20@example.org,"02330 Miller Way
Harrisland, AR 95637",1978-01-30
10,Kayla Hernandez,605.982.4109,wallacelisa@example.com,"USNV Reynolds
FPO AA 06646",1950-04-29
11,Steve Foster,(208)053-0581,matthew82@example.net,"2905 Torres Streets Apt. 303
Port Jasonville, WY 14553",1957-12-26
12,Brian Fuller,001-677-927-0245,calebmcdaniel@example.com,"7145 Scott Shores Suite 613
West Lisaberg, MA 73800",1957-12-21
13,Mrs. Gina Neal,137.671.1845,april51@example.com,"0052 Holt Streets Apt. 392
Paulafort, PA 17945",1987-09-29
14,Jack Keller,001-817-502-1602x357,melissamassey@example.org,"235 Shawn Pass Suite 081
New Saraview, DE 81469",1961-05-19
15,Terri Clark,762-619-7504x883,ypratt@example.net,"1044 Sullivan Mission Apt. 125
Port Mitchellhaven, NE 28115",1974-02-26
16,Roger Bailey,+1-916-701-3959,acostajoseph@example.com,"630 Suzanne Underpass Suite 068
North Steven, PW 12671",1998-04-09
